pair,base,quote,state,tags,last_updated
cruusdt,cru,usdt,offline,st,2025-10-31 23:10:54
rdneth,rdn,eth,offline,st,2025-10-31 23:10:54
msnusdt,msn,usdt,offline,st,2025-10-31 23:10:54
snceth,snc,eth,online,st,2025-10-31 23:10:54
xplausdt,xpla,usdt,offline,st,2025-10-31 23:10:54
mcrtusdt,mcrt,usdt,online,st,2025-10-31 23:10:54
hggusdt,hgg,usdt,offline,st,2025-10-31 23:10:54
unibotusdt,unibot,usdt,offline,st,2025-10-31 23:10:54
tntbtc,tnt,btc,offline,st,2025-10-31 23:10:54
smtusdt,smt,usdt,offline,st,2025-10-31 23:10:54
flzusdc,flz,usdc,online,st,2025-10-31 23:10:54
logxusdt,logx,usdt,offline,st,2025-10-31 23:10:54
clearusdt,clear,usdt,offline,st,2025-10-31 23:10:54
gearboxusdt,gearbox,usdt,online,st,2025-10-31 23:10:54
ivfunusdt,ivfun,usdt,offline,st,2025-10-31 23:10:54
cvpusdt,cvp,usdt,offline,st,2025-10-31 23:10:54
gnsusdt,gns,usdt,offline,st,2025-10-31 23:10:54
urousdt,uro,usdt,offline,st,2025-10-31 23:10:54
snakesusdt,snakes,usdt,offline,st,2025-10-31 23:10:54
sukuusdt,suku,usdt,online,st,2025-10-31 23:10:54
tavausdt,tava,usdt,online,st,2025-10-31 23:10:54
poolxusdt,poolx,usdt,offline,st,2025-10-31 23:10:54
cusdusdt,cusd,usdt,offline,st,2025-10-31 23:10:54
omniausdt,omnia,usdt,offline,st,2025-10-31 23:10:54
sbdusdt,sbd,usdt,online,st,2025-10-31 23:10:54
phxbtc,phx,btc,offline,st,2025-10-31 23:10:54
xcadusdt,xcad,usdt,offline,st,2025-10-31 23:10:54
mcontentusdt,mcontent,usdt,offline,st,2025-10-31 23:10:54
dfiusdt,dfi,usdt,offline,st,2025-10-31 23:10:54
wsdmusdt,wsdm,usdt,online,st,2025-10-31 23:10:54
tnteth,tnt,eth,offline,st,2025-10-31 23:10:54
borgusdt,borg,usdt,offline,st,2025-10-31 23:10:54
paramusdt,param,usdt,offline,st,2025-10-31 23:10:54
bifibtc,bifi,btc,offline,"st,abnormalmarket",2025-10-31 23:10:54
mtlbtc,mtlold,btc,offline,"griddisabled,st",2025-10-31 23:10:54
eurtusdt,eurt,usdt,online,st,2025-10-31 23:10:54
tenetusdt,tenet,usdt,offline,st,2025-10-31 23:10:54
sporeusdt,spore,usdt,offline,st,2025-10-31 23:10:54
xrusdt,xr,usdt,online,st,2025-10-31 23:10:54
orbrusdt,orbr,usdt,offline,st,2025-10-31 23:10:54
smileyusdt,smiley,usdt,offline,st,2025-10-31 23:10:54
moovusdt,moov,usdt,offline,st,2025-10-31 23:10:54
xetausdt,xeta,usdt,offline,st,2025-10-31 23:10:54
azerousdt,azero,usdt,offline,st,2025-10-31 23:10:54
xzkusdt,xzk,usdt,offline,st,2025-10-31 23:10:54
ncasheth,ncash,eth,offline,st,2025-10-31 23:10:54
luneth,lun,eth,offline,st,2025-10-31 23:10:54
xenusdt,xen,usdt,offline,st,2025-10-31 23:10:54
smoleusdt,smole,usdt,offline,st,2025-10-31 23:10:54
saltbtc,salt,btc,offline,st,2025-10-31 23:10:54
elizausdt,eliza,usdt,offline,st,2025-10-31 23:10:54
rcnbtc,rcn,btc,offline,"griddisabled,st",2025-10-31 23:10:54
hifiusdt,hifi,usdt,offline,st,2025-10-31 23:10:54
laiusdt,lai,usdt,offline,st,2025-10-31 23:10:54
kmdusdt,kmd,usdt,offline,st,2025-10-31 23:10:54
zkbusdt,zkb,usdt,offline,st,2025-10-31 23:10:54
porkusdt,pork,usdt,offline,st,2025-10-31 23:10:54
wsmusdt,wsm,usdt,offline,st,2025-10-31 23:10:54
vlxusdt,vlx,usdt,offline,st,2025-10-31 23:10:54
ceekusdt,ceek,usdt,offline,st,2025-10-31 23:10:54
slothusdt,sloth,usdt,offline,st,2025-10-31 23:10:54
rocousdt,roco,usdt,offline,st,2025-10-31 23:10:54
eluusdt,elu,usdt,offline,st,2025-10-31 23:10:54
sovrnusdt,sovrn,usdt,offline,st,2025-10-31 23:10:54
